Subject,Imagazine,Inewspaper,Ilibrary,MotherEd,FatherEd,Gender,Educ,AFQT,Income2005,FamilyIncome78,Race
2,1,1,1,5,8,female,12,6.841,5500,20000,3
6,0,1,1,12,12,male,16,99.393,65000,35000,3
8,1,1,1,9,6,female,14,44.022,36000,7227,3
9,1,1,1,12,10,male,14,59.683,65000,17000,3
13,1,1,1,12,16,male,16,72.313,8000,20000,3
17,1,1,1,12,15,male,13,89.669,43000,15000,3
18,1,1,1,12,16,male,13,95.977,120000,4510,3
20,1,1,1,12,18,female,17,67.021,64000,50000,3
22,1,1,1,12,12,female,16,89.167,45300,18000,3
29,0,1,1,0,4,female,12,25.905,85000,24200,3
34,1,1,1,13,12,male,13,6.069,150432,21000,3
37,0,1,1,12,12,female,12,56.29,37000,37000,3
38,1,1,1,12,12,female,12,12.788,70000,37000,3
39,1,1,1,12,12,male,12,26.851,67000,22000,3
41,1,1,1,10,12,male,15,57.095,120000,5500,3
42,1,1,1,14,12,male,12,22.326,45000,21000,3
44,1,1,1,12,12,female,12,37.061,7200,30000,3
46,1,1,1,12,12,female,19,78.095,42000,28000,3
47,1,1,1,12,16,male,12,75.473,66309,32388,3
49,1,1,1,12,12,female,14,71.226,34000,23900,3
57,1,1,1,12,12,female,12,30.83,12000,23289,3
58,1,1,1,12,17,female,17,91.625,55500,50000,3
61,1,1,1,12,16,female,14,99.15,63000,32000,3
62,1,1,1,12,16,female,13,36.384,30000,32000,3
63,1,1,1,12,12,male,16,87.934,108000,37000,3
69,1,1,1,17,16,male,18,86.703,120000,40000,3
73,1,1,1,16,16,male,18,81.527,186135,25000,3
78,1,1,1,16,18,female,16,85.347,14657,32000,3
86,0,1,1,9,9,female,9,7.198,14000,1688,2
87,0,1,1,11,12,male,12,12.463,17000,12475,2
89,0,1,1,12,12,female,16,84.98,62000,29000,2
97,1,1,1,12,11,female,14,59.411,49000,8000,3
105,1,1,1,12,12,female,12,81.787,40000,28000,3
106,0,1,1,12,9,male,16,87.651,105000,11000,3
107,1,1,1,11,9,male,16,65.347,43000,25000,3
117,1,1,1,10,12,male,15,98.349,83000,52300,3
119,0,1,0,11,8,male,16,27.671,12000,7400,3
120,1,1,1,16,12,male,16,97.847,150000,60000,3
121,1,1,1,17,15,female,17,92.618,41000,60000,3
126,1,1,1,14,15,male,14,67.259,85000,30000,3
129,1,1,1,13,14,male,16,92.817,80000,45000,3
133,0,1,1,10,11,female,12,57.983,52000,25000,3
137,1,1,1,13,16,female,16,87.283,175829,40000,3
138,1,1,1,14,16,female,16,88.326,8000,40000,3
139,1,1,1,16,16,male,15,79.832,120000,40000,3
140,1,1,1,15,12,female,17,72.878,65000,36000,3
141,1,1,1,12,16,female,18,85.861,44768,29000,3
143,0,1,1,10,10,female,14,59.838,52000,17000,3
145,0,1,1,12,12,male,12,62.607,10000,12000,3
146,1,1,1,12,12,male,12,86.932,50000,12000,3
