variet,temp,oil
A,46,51.90696375
A,46,51.9659821
A,46,52.25563149
A,48,50.24525847
A,48,49.81799893
A,48,50.23245738
A,50,50.33979749
A,50,50.33810462
A,50,50.44309704
A,52,51.33279728
A,52,50.83799129
A,52,50.95430837
A,54,50.29162055
A,54,49.85998031
A,54,50.37930258
A,56,48.67733576
A,56,49.00735866
A,56,49.11534133
A,58,48.95357943
A,58,48.89606987
A,58,48.96989234
A,60,48.35694291
A,60,48.54031879
A,60,47.94794678
A,62,47.75057077
A,62,47.96747723
A,62,48.0249837
B,46,53.88554071
B,46,53.93781107
B,46,53.94206932
B,48,54.77169244
B,48,54.82872795
B,48,54.74965845
B,50,53.20404065
B,50,53.20153092
B,50,53.19710506
B,52,53.59661031
B,52,53.49903266
B,52,53.52966942
B,54,53.57591892
B,54,53.8123882
B,54,52.37158027
B,56,52.89206451
B,56,52.66268325
B,56,52.75021247
B,58,52.44925306
B,58,52.72169837
B,58,52.10321538
B,60,52.27970886
B,60,52.2170311
B,60,52.46819242
B,62,52.2731633
B,62,52.23188055
B,62,52.15582424
